Estimated_x,Estimated_y,Estimated_theta,Estimated_x_velocity,Estimated_y_velocity,Estimated_omega
15.317769450851667,-7.762745946871936,-0.928826302800647,15.317769450851667,-7.762745946871936,-0.928826302800647
18.120677801897113,-24.60229448606055,-1.8484563966251388,2.9545679331372248,-16.916406648978334,-0.928826302800647
6.277144430699507,-36.961984476811956,-2.7589813321460053,-11.664122496038972,-12.603274653141492,-0.928826302800647
-10.893367038463124,-35.11338478412631,-3.6604912585528937,-17.108362139644118,1.4826430736738343,-0.928826302800647
-20.237209650316817,-20.428377088871958,-4.553075432478055,-9.451696663184503,14.33735386228115,-0.928826302800647
-14.802419840566765,-3.8708405743134513,-5.436822226833458,5.234423381196701,16.35527735782865,-0.928826302800647
1.308720919445493,2.4941228104985025,-6.311819139560408,15.964583598790421,6.3266386100640455,-0.928826302800647
16.385007009609513,-5.728681581052081,-7.178152802292537,15.089243594737692,-8.198110350793577,-0.928826302800647
19.748315259199813,-22.478654420252994,-8.035908988933022,3.525534435564793,-16.80669189724046,-0.928826302800647
9.146779010168009,-35.91659476441816,-8.88517262414688,-10.406010311078715,-13.660499075467364,-0.928826302800647
-8.073552250877501,-36.771470034361236,-9.726027791769193,-17.12976998927426,-1.2104815982410042,-0.928826302800647
-20.31825663681071,-24.44924177311569,-10.55855774313006,-12.324639755393681,11.958157905166283,-0.928826302800647
-19.566963563905876,-7.043500107349523,-11.382844905297146,0.5501242068855778,17.163672361768032,-0.928826302800647
-6.40042242014745,4.277924115867903,-12.198970889236621,12.972810749367223,11.25168728885688,-0.928826302800647
10.746777776361723,2.4928618480754507,-13.007016497893282,17.08383030492248,-1.7427070028359872,-0.928826302800647
21.183940119659383,-11.086432282344044,-13.807061734190693,10.543565030165729,-13.554612574315342,-0.928826302800647
18.59571948699434,-27.983639253921897,-14.599185808952106,-2.3784807279149947,-17.006972541050867,-0.928826302800647
4.634758193683772,-37.958052744498644,-15.383467148742959,-13.776847081698858,-10.251476482566154,-0.928826302800647
-12.40449401599923,-35.10839774752039,-16.159983403635735,-16.99336396903505,2.473836413553347,-0.928826302800647
-22.670391210590953,-21.087134930085245,-16.928811454897925,-10.388712751031752,13.673658360573132,-0.928826302800647
-20.40536769380748,-3.8275360753957073,-17.69002742260389,2.0405664202142173,17.050817407673318,-0.928826302800647
-6.964277532870814,7.1475262704838745,-18.443706673171352,13.23905881774395,10.937166324301622,-0.928826302800647
10.242868557044174,5.992043696585835,-19.189923826823264,17.13819352971389,-1.0847156877238044,-0.928826302800647
21.989005433625383,-6.498285849909479,-19.92875276497581,11.847550412655547,-12.431002968574443,-0.928826302800647
22.158368305752173,-23.602070379481233,-20.66026663755323,0.38707364166001723,-17.168123356414156,-0.928826302800647
10.758772585502172,-36.40285207990541,-21.384537870230282,-11.180208107199118,-13.034463251888832,-0.928826302800647
-6.358031218643501,-38.39712448998075,-22.10163817160292,-17.0102823579669,-2.3546931195723366,-0.928826302800647
-20.663487680476596,-28.612535482784853,-22.811638540288037,-14.368406642708964,9.40442322180782,-0.928826302800647
-25.22522580027832,-11.831475377249015,-23.514609271952875,-4.76632508112366,16.497770479860993,-0.928826302800647
-17.946228357852885,3.953595729037326,-24.210619966274866,7.029245204326026,15.667928945542892,-0.928826302800647
-2.328588268590602,11.431234916309165,-24.899739533832545,15.439956419220868,7.516783311874935,-0.928826302800647
14.39072615328054,7.301936685233586,-25.582036202928254,16.696259320747483,-4.016118807938093,-0.928826302800647
24.674182182854,-6.415655703908149,-26.25757752634327,10.425937056031424,-13.645296702116521,-0.928826302800647
24.03328455763797,-23.520040891369437,-26.926430388026073,-0.3966012104988099,-17.16790590214637,-0.928826302800647
12.838601236478318,-36.51004189968846,-27.588661009714393,-10.956732364657853,-13.222870394675294,-0.928826302800647
-4.059685000388395,-39.83936662164295,-28.24433495749168,-16.77117263168975,-3.6908067062881993,-0.928826302800647
-19.56320706791737,-32.14511582370165,-28.89351714827867,-15.543716570557542,7.2998055288682915,-0.928826302800647
-27.338314569355965,-16.615259495194096,-29.53627185626066,-7.9688007031684505,15.21159100614736,-0.928826302800647
-24.32837949833583,0.5018489315937774,-30.1726627192512,2.7392613690829615,16.952602535804672,-0.928826302800647
-11.809591659066935,12.50300713314866,-30.802752744992695,12.277915179608735,12.006126953662227,-0.928826302800647
5.301795898823416,14.845497760236436,-31.426604317394705,16.99446206547872,2.4662815512682155,-0.928826302800647
20.483312291172954,6.772653985726668,-32.04427920271043,15.23400890132295,-7.925860103454664,-0.928826302800647
28.10949571154857,-8.578420965605163,-32.65583855565205,7.828986484614318,-15.284019635189152,-0.928826302800647
25.465956754588685,-25.50230739928327,-33.261342925445575,-2.365229873767156,-17.00882045379281,-0.928826302800647
13.588066452171457,-37.888487182205274,-33.860852261825634,-11.625754613121194,-12.638675376027845,-0.928826302800647
-3.276050494849667,-41.38832049704554,-34.45442592097101,-16.729582967633082,-3.8749631371410884,-0.928826302800647
-19.278925866701176,-34.833371956147275,-35.04212267138137,-16.035311194218117,6.145167246682905,-0.928826302800647
-29.025791112732676,-20.483650852663427,-35.624000699695806,-9.937743810270483,14.004839647298784,-0.928826302800647
-29.343744765811763,-3.1190305674739776,-36.20011761645378,-0.60533487814352,17.161813868889972,-0.928826302800647
-20.21156834516258,11.63324867928957,-36.77053046179901,8.841647170782231,14.721398061750786,-0.928826302800647
-4.620380522655553,19.134438862146705,-37.335295711126925,15.391075265748551,7.616369722458622,-0.928826302800647
12.502840835243516,17.141073668745285,-37.89446928067615,17.07747546902019,-1.8039171794001037,-0.928826302800647
